epoch,train_loss,valid_loss,recons_loss,time
0,0.5740004181861877,0.5621877312660217,0.5622572302818298,00:34
1,0.528140127658844,0.5179097056388855,0.5180479884147644,00:34
2,0.49473026394844055,0.4777965247631073,0.47796955704689026,00:33
3,0.4698464274406433,0.45072856545448303,0.45101407170295715,00:33
4,0.44986143708229065,0.4385075569152832,0.43872031569480896,00:32
5,0.4386260509490967,0.4236036539077759,0.423944890499115,00:32
6,0.4339756369590759,0.4154171049594879,0.4158393442630768,00:32
7,0.42630138993263245,0.41104361414909363,0.41127830743789673,00:32
8,0.4208959639072418,0.41409391164779663,0.4143955409526825,00:32
9,0.4156034588813782,0.38973939418792725,0.39006420969963074,00:32
10,0.41496163606643677,0.39357253909111023,0.3938867449760437,00:35
11,0.4047952890396118,0.38275080919265747,0.3830844461917877,00:40
12,0.39608386158943176,0.3675437867641449,0.3678262531757355,00:41
13,0.3949696123600006,0.3777616024017334,0.378017395734787,00:46
14,0.3955269157886505,0.3695792853832245,0.3697718381881714,00:45
15,0.3863016366958618,0.35438892245292664,0.3547251224517822,00:45
16,0.38335999846458435,0.3515777587890625,0.35196739435195923,00:46
17,0.3702748417854309,0.3464684784412384,0.34677112102508545,00:44
18,0.36948615312576294,0.34838631749153137,0.3486982583999634,00:47
19,0.36400720477104187,0.3445613384246826,0.3449341356754303,00:43
20,0.35895541310310364,0.32809361815452576,0.32839706540107727,00:47
21,0.35275816917419434,0.34823039174079895,0.3486388921737671,00:44
22,0.3449210524559021,0.3127844035625458,0.31316909193992615,00:46
23,0.34585806727409363,0.31806257367134094,0.31833603978157043,00:46
24,0.3378990888595581,0.3084102272987366,0.30877184867858887,00:44
25,0.3345341980457306,0.30371686816215515,0.30401960015296936,00:48
26,0.3290863633155823,0.30008479952812195,0.30043965578079224,00:43
27,0.3271743953227997,0.2935519218444824,0.2939014136791229,00:47
28,0.3211359977722168,0.30052828788757324,0.3007753789424896,00:43
29,0.3162471055984497,0.2880066931247711,0.288198322057724,00:46
30,0.3118736445903778,0.2925528585910797,0.2928161919116974,00:45
31,0.30962082743644714,0.2834370732307434,0.2836981415748596,00:46
